iter	Passed	Remaining
596	2332	1574
597	2339	1572
598	2347	1571
599	2356	1570
600	2362	1568
601	2367	1565
602	2371	1561
603	2375	1557
604	2379	1553
605	2383	1549
606	2388	1546
607	2398	1546
608	2404	1544
609	2410	1541
610	2415	1537
611	2418	1533
612	2422	1529
613	2426	1525
614	2430	1521
615	2434	1517
616	2438	1513
617	2442	1509
618	2445	1505
619	2449	1501
620	2453	1497
621	2457	1493
622	2461	1489
623	2464	1485
624	2468	1481
625	2473	1477
626	2476	1473
627	2480	1469
628	2484	1465
629	2488	1461
630	2492	1457
631	2497	1454
632	2500	1449
633	2503	1445
634	2507	1441
635	2510	1436
636	2514	1432
637	2517	1428
638	2521	1424
639	2524	1420
640	2528	1416
641	2531	1411
642	2535	1407
643	2538	1403
644	2542	1399
645	2545	1394
646	2548	1390
647	2552	1386
648	2556	1382
649	2559	1378
650	2562	1373
651	2565	1369
652	2569	1365
653	2572	1360
654	2576	1356
655	2580	1353
656	2584	1349
657	2587	1345
658	2591	1341
659	2596	1337
660	2599	1333
661	2603	1329
662	2607	1325
663	2610	1320
664	2614	1316
665	2618	1313
666	2623	1309
667	2628	1306
668	2632	1302
669	2636	1298
670	2641	1294
671	2645	1291
672	2649	1287
673	2653	1283
674	2657	1279
675	2661	1275
676	2665	1271
677	2669	1267
678	2673	1263
679	2676	1259
680	2680	1255
681	2683	1251
682	2686	1246
683	2690	1242
684	2693	1238
685	2696	1234
686	2700	1230
687	2704	1226
688	2707	1222
689	2711	1218
690	2715	1214
691	2719	1210
692	2723	1206
693	2727	1202
694	2730	1198
695	2734	1194
696	2737	1190
697	2741	1185
698	2744	1181
699	2747	1177
700	2750	1173
701	2754	1169
702	2757	1165
703	2761	1160
704	2764	1156
705	2768	1152
706	2772	1148
707	2776	1145
708	2780	1141
709	2784	1137
710	2788	1133
711	2791	1129
712	2795	1125
713	2798	1121
714	2803	1117
715	2807	1113
716	2810	1109
717	2814	1105
718	2818	1101
719	2822	1097
720	2826	1093
721	2830	1089
722	2834	1086
723	2839	1082
724	2843	1078
725	2847	1074
726	2852	1071
727	2855	1067
728	2859	1062
729	2862	1058
730	2866	1054
731	2869	1050
732	2872	1046
733	2876	1042
734	2880	1038
735	2883	1034
736	2887	1030
737	2891	1026
738	2895	1022
739	2899	1018
740	2904	1015
741	2908	1011
742	2912	1007
743	2916	1003
744	2921	1000
745	2925	996
746	2929	992
747	2932	988
748	2936	984
749	2939	979
750	2943	976
751	2947	972
752	2951	968
753	2955	964
754	2959	960
755	2963	956
756	2967	952
757	2973	949
758	2978	945
759	2984	942
760	2988	938
761	2992	934
762	2995	930
763	2999	926
764	3003	922
765	3006	918
766	3010	914
767	3013	910
768	3016	906
769	3019	902
770	3023	898
771	3027	894
772	3031	890
773	3034	886
774	3038	882
775	3040	877
776	3044	873
777	3048	869
778	3052	866
779	3057	862
780	3060	858
781	3063	854
782	3067	850
783	3070	846
784	3073	841
785	3077	837
786	3080	833
787	3084	829
788	3087	825
789	3091	821
790	3096	818
791	3099	814
792	3103	810
793	3107	806
794	3111	802
795	3115	798
796	3119	794
797	3123	790
798	3126	786
799	3129	782
800	3133	778
801	3137	774
802	3140	770
803	3144	766
804	3147	762
805	3151	758
806	3154	754
807	3158	750
808	3162	746
809	3166	742
810	3170	738
811	3174	735
812	3177	730
813	3180	726
814	3185	723
815	3189	719
816	3193	715
817	3197	711
818	3200	707
819	3205	703
820	3208	699
821	3212	695
822	3215	691
823	3219	687
824	3223	683
825	3226	679
826	3230	675
827	3233	671
828	3237	667
829	3240	663
830	3244	659
831	3248	655
832	3252	652
833	3257	648
834	3260	644
835	3264	640
836	3267	636
837	3271	632
838	3275	628
839	3279	624
840	3283	620
841	3287	616
842	3290	612
843	3294	608
844	3297	604
845	3302	601
846	3305	597
847	3308	593
848	3312	589
849	3316	585
850	3320	581
851	3323	577
852	3327	573
853	3330	569
854	3333	565
855	3337	561
856	3342	557
857	3346	553
858	3350	549
859	3353	545
860	3356	541
861	3361	538
862	3365	534
863	3368	530
864	3372	526
865	3375	522
866	3379	518
867	3383	514
868	3386	510
869	3390	506
870	3394	502
871	3397	498
872	3400	494
873	3403	490
874	3407	486
875	3411	482
876	3415	478
877	3418	474
878	3422	471
879	3426	467
880	3429	463
881	3432	459
882	3436	455
883	3439	451
884	3443	447
885	3448	443
886	3452	439
887	3456	435
888	3459	431
889	3464	428
890	3467	424
891	3471	420
892	3475	416
893	3479	412
894	3483	408
895	3488	404
896	3493	401
897	3497	397
898	3501	393
899	3504	389
900	3510	385
901	3516	382
902	3520	378
903	3524	374
904	3528	370
905	3531	366
906	3535	362
907	3539	358
908	3542	354
909	3548	350
910	3553	347
911	3556	343
912	3560	339
913	3564	335
914	3567	331
915	3571	327
916	3574	323
917	3578	319
918	3582	315
919	3586	311
920	3589	307
921	3593	304
922	3598	300
923	3602	296
924	3606	292
925	3610	288
926	3614	284
927	3617	280
928	3621	276
929	3625	272
930	3629	268
931	3632	265
932	3635	261
933	3639	257
934	3642	253
935	3646	249
936	3650	245
937	3654	241
938	3657	237
939	3660	233
940	3664	229
941	3669	225
942	3672	222
943	3677	218
944	3681	214
945	3685	210
946	3688	206
947	3693	202
948	3696	198
949	3700	194
950	3705	190
951	3708	186
952	3712	183
953	3716	179
954	3719	175
955	3723	171
956	3727	167
957	3731	163
958	3734	159
959	3738	155
960	3741	151
961	3745	147
962	3750	144
963	3753	140
964	3757	136
965	3760	132
966	3763	128
967	3768	124
968	3771	120
969	3775	116
970	3778	112
971	3782	108
972	3786	105
973	3791	101
974	3795	97
975	3799	93
976	3802	89
977	3807	85
978	3811	81
979	3815	77
980	3818	73
981	3822	70
982	3826	66
983	3830	62
984	3834	58
985	3838	54
986	3841	50
987	3844	46
988	3848	42
989	3854	38
990	3858	35
991	3863	31
992	3867	27
993	3870	23
994	3873	19
995	3878	15
996	3882	11
997	3886	7
998	3889	3
999	3894	0
